Sun Sep 10 14:28:48 2017
#
['', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m']
['b:m', '', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m', '']
['', 'b:m', '', '', '', 'b:m', '', 'b:m', '', 'b:m']
['', '', 'b:m', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['w:m', '', 'w:m', '', 'w:m', '', 'w:m', '', 'w:m', '']
['', 'w:m', '', 'w:m', '', 'w:m', '', 'w:m', '', 'w:m']
['w:m', '', 'w:m', '', 'w:m', '', 'w:m', '', 'w:m', '']
#
['', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m']
['b:m', '', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m', '']
['', 'b:m', '', '', '', 'b:m', '', 'b:m', '', 'b:m']
['', '', 'b:m', '', '', '', '', '', '', '']
['', 'w:m', '', '', '', '', '', '', '', '']
['w:m', '', '', '', 'w:m', '', 'w:m', '', 'w:m', '']
['', 'w:m', '', 'w:m', '', 'w:m', '', 'w:m', '', 'w:m']
['w:m', '', 'w:m', '', 'w:m', '', 'w:m', '', 'w:m', '']
#
['', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m']
['b:m', '', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m', '']
['', 'b:m', '', '', '', 'b:m', '', 'b:m', '', 'b:m']
['', '', '', '', '', '', '', '', '', '']
['', 'w:m', '', 'b:m', '', '', '', '', '', '']
['w:m', '', '', '', 'w:m', '', 'w:m', '', 'w:m', '']
['', 'w:m', '', 'w:m', '', 'w:m', '', 'w:m', '', 'w:m']
['w:m', '', 'w:m', '', 'w:m', '', 'w:m', '', 'w:m', '']
#
['', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m']
['b:m', '', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m', '']
['', 'b:m', '', '', '', 'b:m', '', 'b:m', '', 'b:m']
['', '', 'w:m', '', '', '', '', '', '', '']
['', 'w:m', '', '', '', '', '', '', '', '']
['w:m', '', '', '', '', '', 'w:m', '', 'w:m', '']
['', 'w:m', '', 'w:m', '', 'w:m', '', 'w:m', '', 'w:m']
['w:m', '', 'w:m', '', 'w:m', '', 'w:m', '', 'w:m', '']
#
['', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m']
['b:m', '', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m', '']
['', '', '', '', '', 'b:m', '', 'b:m', '', 'b:m']
['', '', '', '', '', '', '', '', '', '']
['', 'w:m', '', 'b:m', '', '', '', '', '', '']
['w:m', '', '', '', '', '', 'w:m', '', 'w:m', '']
['', 'w:m', '', 'w:m', '', 'w:m', '', 'w:m', '', 'w:m']
['w:m', '', 'w:m', '', 'w:m', '', 'w:m', '', 'w:m', '']
#
['', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m']
['b:m', '', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m', '']
['', '', '', '', '', 'b:m', '', 'b:m', '', 'b:m']
['', '', '', '', '', '', '', '', '', '']
['', 'w:m', '', 'b:m', '', '', '', '', '', '']
['w:m', '', 'w:m', '', '', '', 'w:m', '', 'w:m', '']
['', 'w:m', '', '', '', 'w:m', '', 'w:m', '', 'w:m']
['w:m', '', 'w:m', '', 'w:m', '', 'w:m', '', 'w:m', '']
#
['', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m']
['b:m', '', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m', '']
['', '', '', '', '', '', '', 'b:m', '', 'b:m']
['', '', '', '', 'b:m', '', '', '', '', '']
['', 'w:m', '', 'b:m', '', '', '', '', '', '']
['w:m', '', 'w:m', '', '', '', 'w:m', '', 'w:m', '']
['', 'w:m', '', '', '', 'w:m', '', 'w:m', '', 'w:m']
['w:m', '', 'w:m', '', 'w:m', '', 'w:m', '', 'w:m', '']
#
['', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m']
['b:m', '', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m', '']
['', '', '', '', '', '', '', 'b:m', '', 'b:m']
['', '', '', '', 'b:m', '', '', '', '', '']
['', 'w:m', '', 'b:m', '', '', '', '', '', '']
['w:m', '', 'w:m', '', 'w:m', '', 'w:m', '', 'w:m', '']
['', 'w:m', '', '', '', '', '', 'w:m', '', 'w:m']
['w:m', '', 'w:m', '', 'w:m', '', 'w:m', '', 'w:m', '']
#
['', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m']
['b:m', '', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m', '']
['', '', '', '', '', '', '', 'b:m', '', 'b:m']
['', '', '', '', 'b:m', '', '', '', '', '']
['', 'w:m', '', '', '', '', '', '', '', '']
['w:m', '', 'w:m', '', '', '', 'w:m', '', 'w:m', '']
['', 'w:m', '', '', '', 'b:m', '', 'w:m', '', 'w:m']
['w:m', '', 'w:m', '', 'w:m', '', 'w:m', '', 'w:m', '']
#
['', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m']
['b:m', '', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m', '']
['', '', '', '', '', '', '', 'b:m', '', 'b:m']
['', '', '', '', 'b:m', '', '', '', '', '']
['', 'w:m', '', '', '', 'w:m', '', '', '', '']
['w:m', '', 'w:m', '', '', '', '', '', 'w:m', '']
['', 'w:m', '', '', '', 'b:m', '', 'w:m', '', 'w:m']
['w:m', '', 'w:m', '', 'w:m', '', 'w:m', '', 'w:m', '']
#
['', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m']
['b:m', '', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m', '']
['', '', '', '', '', '', '', 'b:m', '', 'b:m']
['', '', '', '', '', '', '', '', '', '']
['', 'w:m', '', '', '', '', '', '', '', '']
['w:m', '', 'w:m', '', '', '', 'b:m', '', 'w:m', '']
['', 'w:m', '', '', '', 'b:m', '', 'w:m', '', 'w:m']
['w:m', '', 'w:m', '', 'w:m', '', 'w:m', '', 'w:m', '']
#
['', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m']
['b:m', '', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m', '']
['', '', '', '', '', '', '', 'b:m', '', 'b:m']
['', '', '', '', '', '', '', '', '', '']
['', 'w:m', '', '', '', 'w:m', '', '', '', '']
['w:m', '', 'w:m', '', '', '', '', '', 'w:m', '']
['', 'w:m', '', '', '', 'b:m', '', '', '', 'w:m']
['w:m', '', 'w:m', '', 'w:m', '', 'w:m', '', 'w:m', '']
#
['', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m']
['b:m', '', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m', '']
['', '', '', '', '', '', '', '', '', 'b:m']
['', '', '', '', '', '', 'b:m', '', '', '']
['', 'w:m', '', '', '', 'w:m', '', '', '', '']
['w:m', '', 'w:m', '', '', '', '', '', 'w:m', '']
['', 'w:m', '', '', '', 'b:m', '', '', '', 'w:m']
['w:m', '', 'w:m', '', 'w:m', '', 'w:m', '', 'w:m', '']
#
['', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m']
['b:m', '', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m', '']
['', '', '', '', '', '', '', 'w:m', '', 'b:m']
['', '', '', '', '', '', '', '', '', '']
['', 'w:m', '', '', '', '', '', '', '', '']
['w:m', '', 'w:m', '', '', '', '', '', 'w:m', '']
['', 'w:m', '', '', '', 'b:m', '', '', '', 'w:m']
['w:m', '', 'w:m', '', 'w:m', '', 'w:m', '', 'w:m', '']
#
['', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m', '', 'b:m']
['b:m', '', 'b:m', '', 'b:m', '', '', '', 'b:m', '']
